qPCR_name,new_name,plate
SqmDn_1_0322_TR2_10,0322.5Sqm.Dn.1,COHO-098
SqmDn_1_0422_10,0422.5Sqm.Dn.1,COHO-098
SqmDn_1_0522_10,0522.5Sqm.Dn.1,COHO-098
SqmDn_1_0622_10,0622.5Sqm.Dn.1,COHO-098
SqmDn_1_0722_1,0722.5Sqm.Dn.1,CUT-IN-099
SqmDn_1_0722_1,0722.5Sqm.Dn.1,COHO-099
SqmDn_1_0822_1,0822.5Sqm.Dn.1,CUT-IN-099
SqmDn_1_0822_1,0822.5Sqm.Dn.1,COHO-099
SqmDn_1_1222_1,1222.5Sqm.Dn.1,CUT-IN-099
SqmDn_1_1222_1,1222.5Sqm.Dn.1,COHO-099
SqmDn_2_0322_10,0322.5Sqm.Dn.2,COHO-098
SqmDn_2_0422_10,0422.5Sqm.Dn.2,COHO-098
SqmDn_2_0522_10,0522.5Sqm.Dn.2,COHO-098
SqmDn_2_0622_10,0622.5Sqm.Dn.2,COHO-098
SqmDn_2_0722_1,0722.5Sqm.Dn.2,CUT-IN-099
SqmDn_2_0722_1,0722.5Sqm.Dn.2,COHO-099
SqmDn_2_0822_1,0822.5Sqm.Dn.2,CUT-IN-099
SqmDn_2_0822_1,0822.5Sqm.Dn.2,COHO-099
SqmDn_2_1222_1,1222.5Sqm.Dn.2,CUT-IN-099
SqmDn_2_1222_1,1222.5Sqm.Dn.2,COHO-099
SqmDn_3_0322_10,0322.5Sqm.Dn.3,COHO-098
SqmDn_3_0422_10,0422.5Sqm.Dn.3,COHO-098
SqmDn_3_0522_10,0522.5Sqm.Dn.3,COHO-098
SqmDn_3_0622_10,0622.5Sqm.Dn.3,COHO-098
SqmDn_3_0722_1,0722.5Sqm.Dn.3,CUT-IN-099
SqmDn_3_0722_1,0722.5Sqm.Dn.3,COHO-099
SqmDn_3_0822_1,0822.5Sqm.Dn.3,CUT-IN-099
SqmDn_3_0822_1,0822.5Sqm.Dn.3,COHO-099
SqmDn_3_1222_1,1222.5Sqm.Dn.3,CUT-IN-099
SqmDn_3_1222_1,1222.5Sqm.Dn.3,COHO-099
SqmDn.1_0322_TR3_10,0322.5Sqm.Dn.1,COHO-098
SqmDn.1.0322TR3 1:10,0322.5Sqm.Dn.1,CUT-IN-098
SqmDn1.0322TR1 1:10,0322.5Sqm.Dn.1,CUT-IN-098
SqmDn1.0322TR2 1:10,0322.5Sqm.Dn.1,CUT-IN-098
SqmDn1.0422 1:10,0422.5Sqm.Dn.1,CUT-IN-098
SqmDn1.0522 1:10,0522.5Sqm.Dn.1,CUT-IN-098
SqmDn1.0622 1:10,0622.5Sqm.Dn.1,CUT-IN-098
SqmDn2.0322 1:10,0322.5Sqm.Dn.2,CUT-IN-098
SqmDn2.0422 1:10,0422.5Sqm.Dn.2,CUT-IN-098
SqmDn2.0522 1:10,0522.5Sqm.Dn.2,CUT-IN-098
SqmDn2.0622 1:10,0622.5Sqm.Dn.2,CUT-IN-098
SqmDn3.0322 1:10,0322.5Sqm.Dn.3,CUT-IN-098
SqmDn3.0422 1:10,0422.5Sqm.Dn.3,CUT-IN-098
SqmDn3.0522 1:10,0522.5Sqm.Dn.3,CUT-IN-098
SqmDn3.0622 1:10,0622.5Sqm.Dn.3,CUT-IN-098
SqmUp_1_0322_10,0322.5Sqm.Up.1,COHO-098
SqmUp_1_0422_10,0422.5Sqm.Up.1,COHO-098
SqmUp_1_0522_10,0522.5Sqm.Up.1,COHO-098
SqmUp_1_0622_10,0622.5Sqm.Up.1,COHO-098
SqmUp_1_0622_TR2_10,0622.5Sqm.Up.1,COHO-098
SqmUp_1_0622_TR3_10,0622.5Sqm.Up.1,COHO-098
SqmUp_1_0722_10,0722.5Sqm.Up.1,CUT-IN-099
SqmUp_1_0722_10,0722.5Sqm.Up.1,COHO-099
SqmUp_1_0822_10,0822.5Sqm.Up.1,CUT-IN-099
SqmUp_1_0822_10,0822.5Sqm.Up.1,COHO-099
