"Plate","Ct","dilution","Adj_Vol","Sample"
16,36.5872917175293,10,1.016666667,"0122.5Sqm.Dn.2"
17,NA,10,1.983333333,"0222.3Chk.Dn.3"
17,38.5296897888184,10,1.983333333,"0222.3Chk.Dn.3"
17,38.856143951416,10,1.983333333,"0222.3Chk.Dn.3"
17,NA,10,2,"0222.5Sqm.Up.2"
17,39.1162948608398,10,2,"0222.5Sqm.Up.2"
17,39.1855926513672,10,2,"0222.5Sqm.Up.2"
17,NA,10,2.01,"0222.3Chk.Up.2"
17,39.7503852844238,10,2.01,"0222.3Chk.Up.2"
17,38.4538383483887,10,2.01,"0222.3Chk.Up.2"
17,NA,10,2.016666667,"0222.5Sqm.Dn.1"
17,38.364875793457,10,2.016666667,"0222.5Sqm.Dn.1"
17,36.7210502624512,10,2.016666667,"0222.5Sqm.Dn.1"
20,34.2426681518555,1,2.036666667,"0921.4Pad.Dn.3"
20,34.0514183044434,1,2.036666667,"0921.4Pad.Dn.3"
20,33.9777984619141,1,2.036666667,"0921.4Pad.Dn.3"
20,36.8062553405762,1,2.016666667,"1021.4Pad.Up11.1"
20,35.3612899780273,1,2.016666667,"1021.4Pad.Up11.1"
20,35.7982902526855,1,2.016666667,"1021.4Pad.Up11.1"
20,33.0993766784668,1,2.033333333,"0921.4Pad.Up11.2"
20,33.4480400085449,1,2.033333333,"0921.4Pad.Up11.2"
20,34.0955200195312,1,2.033333333,"0921.4Pad.Up11.2"
20,34.0195426940918,1,2.016666667,"1021.4Pad.Up11.2"
20,34.7740325927734,1,2.016666667,"1021.4Pad.Up11.2"
20,33.7077713012695,1,2.016666667,"1021.4Pad.Up11.2"
20,34.3525276184082,1,2.016666667,"1221.4Pad.Up11.1"
20,34.6052513122559,1,2.016666667,"1221.4Pad.Up11.1"
20,34.986156463623,1,2.016666667,"1221.4Pad.Up11.1"
20,NA,1,2.006666667,"0222.4Pad.Dn.1"
20,36.6397590637207,1,2.006666667,"0222.4Pad.Dn.1"
20,36.6755561828613,1,2.006666667,"0222.4Pad.Dn.1"
20,37.5278205871582,1,2.006666667,"1021.4Pad.Dn.1"
