"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1,23]",-4.72400806373029,0.0191113273618663,0.180425491177004,-5.12282118735539,-4.83168442329939,-4.71308033464745,-4.5965754995064,-4.40519673965202,89.1279852136337,1.00670253154447
"beta[1,24]",-5.70401429303271,0.0191202155051257,0.17925863334754,-6.10096670694539,-5.80895623997294,-5.69550535447383,-5.57880513829676,-5.38669498152526,87.8971100625325,1.00712407907226
"beta[1,25]",-7.03690128574498,0.0191559766772643,0.179180115547643,-7.44269018500664,-7.14244503692425,-7.02867168398151,-6.91231170748291,-6.72048492719495,87.492540136766,1.00702590809087
"beta[1,26]",-7.10119611887413,0.0191511603273568,0.179278416130832,-7.50725958030581,-7.2056068666335,-7.09402892132281,-6.97570939708754,-6.78368479933064,87.6326266627768,1.00698734689584
"beta[1,27]",-7.05389209996949,0.019216610878344,0.179727344607097,-7.45868579136066,-7.16001534227702,-7.04443896571451,-6.92830991308091,-6.73222898173106,87.4731413968882,1.00703705951284
"beta[1,28]",-7.03235321643969,0.0191899132731779,0.179442333587894,-7.43885253877551,-7.13789326030751,-7.02520396544857,-6.90577942936609,-6.71278968059742,87.4387203068391,1.00692132481397
"beta[1,29]",-6.68049283450356,0.0191414680573915,0.179756607650518,-7.08244379965594,-6.78877397529454,-6.67332768244921,-6.55326153022591,-6.35582217261375,88.1899793819407,1.00733839546385
"beta[1,30]",-6.95313047383244,0.0191254568772708,0.179402981068541,-7.35916613444302,-7.05962010774034,-6.94567564928525,-6.82838322093003,-6.63056787200963,87.9904772774471,1.00694749884319
"beta[1,31]",-6.5890872431243,0.0192065231492327,0.179527641411523,-6.99710371842191,-6.6935193687444,-6.5802367748287,-6.46519411468094,-6.27443638627149,87.3705646531514,1.00721649977549
"beta[1,32]",-6.42340301592528,0.0191038016531063,0.179521989435983,-6.83042868810304,-6.53132348661664,-6.41469906124258,-6.29661396782343,-6.10488540185144,88.3071165189517,1.00672055803488
"beta[1,33]",-5.81605504701499,0.019206198328995,0.17935269507226,-6.2223275284915,-5.92204333395575,-5.80874237227932,-5.69270843009747,-5.49588010064258,87.2033151846107,1.00741633245241
"beta[1,34]",-6.49098337528184,0.0192357578655485,0.179483740588047,-6.90206421623398,-6.59721343526137,-6.48225267670898,-6.36646941296062,-6.17160428847976,87.0625976153701,1.00711751545264
"beta[1,35]",-6.63274546076143,0.0191659777374161,0.179277455704106,-7.03836647147634,-6.74001296657086,-6.6252150145929,-6.50722750088495,-6.31488161676503,87.4962422377288,1.00695041449028
"beta[1,36]",-6.34204282946435,0.0191363498041556,0.179567395355501,-6.75413519644976,-6.4489038289434,-6.33307775429559,-6.21783223511707,-6.02545084771874,88.0515011031279,1.00673775518806
"beta[1,37]",-7.1043938801426,0.0191290551958908,0.179234445773399,-7.51060420510019,-7.20914759712403,-7.09570588491713,-6.9792233374027,-6.78741610899123,87.7921963041488,1.00698645786858
"beta[1,38]",-6.84391254063828,0.0191646842165185,0.179286546326894,-7.24989713771435,-6.95042991642949,-6.83568272841022,-6.71878706610711,-6.52531280523109,87.5169285265496,1.00697739268568
"beta[1,39]",-6.61237639772054,0.0191165711433054,0.179462971862221,-7.01800339812512,-6.72049738290181,-6.60352134214813,-6.48647576904393,-6.29502378329028,88.1312065380663,1.00670402588218
"beta[1,40]",-6.98461788924804,0.0191892671048484,0.179383250085922,-7.3936234635808,-7.08973960115141,-6.9761558899287,-6.85999714935258,-6.66855646179543,87.387034273253,1.00710016423017
"beta[1,41]",-7.04677470790715,0.0191328618341548,0.1795541359917,-7.45680338911196,-7.15414381207532,-7.03776576211532,-6.92179281026022,-6.72878702514835,88.0706002481503,1.00694554053578
"beta[1,42]",-7.06177840178114,0.0191557861571749,0.179218713462057,-7.47322524154982,-7.16750602228854,-7.05371328317455,-6.93715169235413,-6.74328266596156,87.5319795710342,1.00702611395061
