"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[12,4]",2.38638543456398e-06,6.89577344449155e-08,4.17409128709873e-06,5.60436703220493e-09,1.58694984941074e-07,7.07514623268119e-07,2.68776447243004e-06,1.48397540421409e-05,3664.02068168204,0.999431377697174
"mu_samp[13,1]",0.486781478760526,4.85129352191663e-05,0.00272347044744075,0.481467558716286,0.484987358486426,0.486782926758961,0.48858894977224,0.492198503101546,3151.59374847078,0.999353402631158
"mu_samp[13,2]",1.59012580625676e-06,1.07796054659729e-07,5.97302574784552e-06,4.9205415306874e-13,6.67629043314584e-10,2.12919844582164e-08,4.23366359248632e-07,1.73175077558691e-05,3070.31575982343,1.00026100646344
"mu_samp[13,3]",0.513211063236549,4.85145249506337e-05,0.00272367472804199,0.507800769723431,0.5114059518387,0.513202972619653,0.515001427628119,0.518529243086036,3151.85998086205,0.999355014098392
"mu_samp[13,4]",5.86787711870619e-06,2.14416305036837e-07,1.15704293232819e-05,5.2920404453813e-09,2.55877146122364e-07,1.46587218251525e-06,5.8892000913632e-06,4.01265624596602e-05,2911.94610238949,0.999764303378997
"mu_samp[14,1]",0.566245965611282,5.42577317932374e-05,0.00282307451587755,0.560904780262972,0.564331531324571,0.566231596949012,0.56815479519589,0.57172759469318,2707.20668889691,0.999793331494184
"mu_samp[14,2]",1.48168267218884e-06,1.1999388004498e-07,6.66394877050232e-06,5.54290037802178e-13,7.16488099454596e-10,2.08803336976745e-08,3.67858513039679e-07,1.44323267777763e-05,3084.21827547719,0.999846238200576
"mu_samp[14,3]",0.433746823028841,5.42521036541198e-05,0.00282326682128947,0.428270515209137,0.431834167518046,0.433755172121844,0.435663985772857,0.439065174882292,2708.1373261421,0.999796422908666
"mu_samp[14,4]",5.72967720413518e-06,2.15460129975919e-07,1.16800408343029e-05,6.83545658468382e-09,2.79205827491402e-07,1.37998856427518e-06,5.78588536658625e-06,4.03384236392319e-05,2938.69752510343,0.999616060851722
"mu_samp[15,1]",0.753381458866476,3.57110372024512e-05,0.00193181107743599,0.749596379932576,0.752109127438728,0.753351003748367,0.754691901453934,0.757267348606942,2926.33725179712,1.00023052973451
"mu_samp[15,2]",1.13975946704399e-06,7.02873289510594e-08,3.9157180472496e-06,4.19678723088185e-13,4.36095454806305e-10,1.28064317874055e-08,3.24453518872336e-07,1.20575544453163e-05,3103.62146024347,0.999929491532055
"mu_samp[15,3]",0.246613185534714,3.57076155044169e-05,0.00193193649982398,0.242732628391673,0.245301012252763,0.246644900521798,0.247884530458133,0.250399001681457,2927.27818249426,1.00022874339051
"mu_samp[15,4]",4.21583934313875e-06,1.27922970359721e-07,7.5718028009473e-06,4.65585904297003e-09,2.12063503894352e-07,1.08756736077286e-06,4.3995927283954e-06,2.7550608038412e-05,3503.4951384641,0.999884898210577
"mu_samp[16,1]",0.395571402919096,4.69056898312375e-05,0.00259994389302195,0.390488331446895,0.39381099463925,0.395522008142957,0.397375899348805,0.40069470208569,3072.39392065117,0.999681658129025
